FechayHora ; AlturaCeneha ; AlturaPrefectura
27/01/2018 00:00 ; 3.9 ; 3.84
28/01/2018 12:00 ; 4 ; 3.93
28/01/2018 00:00 ; 3.96 ; 3.84
29/01/2018 12:00 ; 4.03 ; 3.93
29/01/2018 00:00 ; 3.99 ; 3.93
30/01/2018 12:00 ; 4.06 ; 4
30/01/2018 00:00 ; 4.03 ; 3.98
31/01/2018 12:00 ; 4.09 ; 4.04
31/01/2018 00:00 ; 4.06 ; 4
01/02/2018 12:00 ; 4.15 ; 4.04
01/02/2018 00:00 ; 4.11 ; 4.04
02/02/2018 12:00 ; 4.2 ; 4.12
02/02/2018 00:00 ; 4.15 ; 4.1
03/02/2018 12:00 ; 4.24 ; 4.15
03/02/2018 00:00 ; 4.19 ; 4.12
04/02/2018 12:00 ; 4.27 ; 4.18
04/02/2018 00:00 ; 4.23 ; 4.15
05/02/2018 12:00 ; 4.31 ; 4.23
05/02/2018 00:00 ; 4.27 ; 4.18
06/02/2018 12:00 ; 4.34 ; 4.26
06/02/2018 00:00 ; 4.3 ; 4.23
07/02/2018 12:00 ; 4.36 ; 4.29
07/02/2018 00:00 ; 4.33 ; 4.26
08/02/2018 12:00 ; 4.4 ; 4.33
08/02/2018 00:00 ; 4.36 ; 4.29
09/02/2018 12:00 ; 4.4 ; 4.35
09/02/2018 00:00 ; 4.4 ; 4.33
10/02/2018 12:00 ; 4.43 ; 4.37
10/02/2018 00:00 ; 4.41 ; 4.35
11/02/2018 12:00 ; 4.44 ; 4.4
11/02/2018 00:00 ; 4.44 ; 4.37
12/02/2018 12:00 ; 4.46 ; 4.44
12/02/2018 00:00 ; 4.44 ; 4.4
13/02/2018 12:00 ; 4.49 ; 4.44
13/02/2018 00:00 ; 4.46 ; 4.44
14/02/2018 12:00 ; 4.52 ; 4.46
14/02/2018 00:00 ; 4.48 ; 4.44
15/02/2018 12:00 ; 4.53 ; 4.47
15/02/2018 00:00 ; 4.51 ; 4.46
16/02/2018 12:00 ; 4.54 ; 4.48
16/02/2018 00:00 ; 4.52 ; 4.47
17/02/2018 12:00 ; 4.55 ; 4.48
17/02/2018 00:00 ; 4.53 ; 4.48
18/02/2018 12:00 ; 4.56 ; 4.49
18/02/2018 00:00 ; 4.57 ; 4.48
19/02/2018 12:00 ; 4.56 ; 4.5
19/02/2018 00:00 ; 4.55 ; 4.49
20/02/2018 12:00 ; 4.55 ; 4.51
20/02/2018 00:00 ; 4.55 ; 4.5
21/02/2018 12:00 ; 4.54 ; 4.5
21/02/2018 00:00 ; 4.51 ; 4.51
22/02/2018 00:00 ; 4.54 ; 4.5
23/02/2018 12:00 ; 4.55 ; 4.48
23/02/2018 00:00 ; 4.53 ; 4.51
24/02/2018 12:00 ; 4.54 ; 4.5
24/02/2018 00:00 ; 4.52 ; 4.48
25/02/2018 12:00 ; 4.53 ; 4.5
25/02/2018 00:00 ; 4.52 ; 4.5
26/02/2018 12:00 ; 4.51 ; 4.46
26/02/2018 00:00 ; 4.51 ; 4.5
27/02/2018 12:00 ; 4.51 ; 4.46
27/02/2018 00:00 ; 4.5 ; 4.46
28/02/2018 12:00 ; 4.5 ; 4.44
28/02/2018 00:00 ; 4.49 ; 4.46
01/03/2018 12:00 ; 4.49 ; 4.44
01/03/2018 00:00 ; 4.49 ; 4.44
02/03/2018 12:00 ; 4.49 ; 4.44
02/03/2018 00:00 ; 4.48 ; 4.44
03/03/2018 12:00 ; 4.47 ; 4.42
03/03/2018 00:00 ; 4.47 ; 4.44
04/03/2018 12:00 ; 4.47 ; 4.4
04/03/2018 00:00 ; 4.46 ; 4.42
05/03/2018 12:00 ; 4.43 ; 4.38
05/03/2018 00:00 ; 4.43 ; 4.4
06/03/2018 12:00 ; 4.42 ; 4.38
06/03/2018 00:00 ; 4.42 ; 4.38
07/03/2018 12:00 ; 4.4 ; 4.36
07/03/2018 00:00 ; 4.39 ; 4.38
08/03/2018 12:00 ; 4.38 ; 4.34
08/03/2018 00:00 ; 4.38 ; 4.36
09/03/2018 12:00 ; 4.38 ; 4.33
09/03/2018 00:00 ; 4.36 ; 4.34
10/03/2018 12:00 ; 4.38 ; 4.33
10/03/2018 00:00 ; 4.36 ; 4.33
11/03/2018 12:00 ; 4.3 ; 4.33
11/03/2018 00:00 ; 4.32 ; 4.33
12/03/2018 12:00 ; 4.33 ; 4.29
12/03/2018 00:00 ; 4.31 ; 4.3
13/03/2018 12:00 ; 4.31 ; 4.27
13/03/2018 00:00 ; 4.31 ; 4.29
14/03/2018 12:00 ; 4.31 ; 4.26
14/03/2018 00:00 ; 4.3 ; 4.27
15/03/2018 12:00 ; 4.29 ; 4.26
15/03/2018 00:00 ; 4.3 ; 4.26
16/03/2018 12:00 ; 4.3 ; 4.26
16/03/2018 00:00 ; 4.28 ; 4.26
17/03/2018 12:00 ; 4.3 ; 4.26
17/03/2018 00:00 ; 4.28 ; 4.26
18/03/2018 00:00 ; 4.29 ; 4.26
19/03/2018 12:00 ; 4.29 ; 4.2
19/03/2018 00:00 ; 4.27 ; 4.22
20/03/2018 12:00 ; 4.29 ; 4.24
20/03/2018 00:00 ; 4.27 ; 4.2
21/03/2018 12:00 ; 4.27 ; 4.25
21/03/2018 00:00 ; 4.26 ; 4.24
22/03/2018 12:00 ; 4.27 ; 4.24
22/03/2018 00:00 ; 4.26 ; 4.25
23/03/2018 12:00 ; 4.29 ; 4.23
23/03/2018 00:00 ; 4.27 ; 4.24
24/03/2018 12:00 ; 4.28 ; 4.22
24/03/2018 00:00 ; 4.28 ; 4.23
25/03/2018 12:00 ; 4.24 ; 4.21
25/03/2018 00:00 ; 4.18 ; 4.22
26/03/2018 12:00 ; 4.26 ; 4.23
26/03/2018 00:00 ; 4.24 ; 4.21
27/03/2018 12:00 ; 4.27 ; 4.24
27/03/2018 00:00 ; 4.27 ; 4.23
28/03/2018 12:00 ; 4.3 ; 4.24
28/03/2018 00:00 ; 4.28 ; 4.24
29/03/2018 12:00 ; 4.31 ; 4.25
29/03/2018 00:00 ; 4.29 ; 4.24
30/03/2018 12:00 ; 4.32 ; 4.26
30/03/2018 00:00 ; 4.31 ; 4.25
31/03/2018 12:00 ; 4.32 ; 4.26
31/03/2018 00:00 ; 4.31 ; 4.26
01/04/2018 12:00 ; 4.34 ; 4.28
01/04/2018 00:00 ; 4.33 ; 4.26
02/04/2018 12:00 ; 4.34 ; 4.3
02/04/2018 00:00 ; 4.32 ; 4.28
03/04/2018 12:00 ; 4.34 ; 4.3
03/04/2018 00:00 ; 4.33 ; 4.3
04/04/2018 12:00 ; 4.35 ; 4.31
04/04/2018 00:00 ; 4.33 ; 4.3
05/04/2018 12:00 ; 4.36 ; 4.3
05/04/2018 00:00 ; 4.36 ; 4.31
06/04/2018 12:00 ; 4.36 ; 4.3
06/04/2018 00:00 ; 4.35 ; 4.3
07/04/2018 12:00 ; 4.36 ; 4.3
07/04/2018 00:00 ; 4.35 ; 4.3
08/04/2018 12:00 ; 4.41 ; 4.3
08/04/2018 00:00 ; 4.37 ; 4.3
09/04/2018 12:00 ; 4.41 ; 4.36
09/04/2018 00:00 ; 4.4 ; 4.35
10/04/2018 12:00 ; 4.42 ; 4.35
10/04/2018 00:00 ; 4.41 ; 4.36
11/04/2018 12:00 ; 4.43 ; 4.35
11/04/2018 00:00 ; 4.4 ; 4.35
12/04/2018 12:00 ; 4.35 ; 4.36
12/04/2018 00:00 ; 4.39 ; 4.32
13/04/2018 12:00 ; 4.36 ; 4.34
13/04/2018 00:00 ; 4.36 ; 4.36
14/04/2018 12:00 ; 4.36 ; 4.33
14/04/2018 00:00 ; 4.35 ; 4.34
15/04/2018 12:00 ; 4.36 ; 4.34
15/04/2018 00:00 ; 4.36 ; 4.33
16/04/2018 12:00 ; 4.35 ; 4.32
16/04/2018 00:00 ; 4.35 ; 4.33
17/04/2018 12:00 ; 4.36 ; 4.31
17/04/2018 00:00 ; 4.34 ; 4.32
18/04/2018 12:00 ; 4.35 ; 4.3
18/04/2018 00:00 ; 4.34 ; 4.31
19/04/2018 12:00 ; 4.34 ; 4.28
19/04/2018 00:00 ; 4.34 ; 4.3
20/04/2018 12:00 ; 4.39 ; 4.28
20/04/2018 00:00 ; 4.33 ; 4.28
21/04/2018 12:00 ; 4.37 ; 4.33
21/04/2018 00:00 ; 4.37 ; 4.33
22/04/2018 12:00 ; 4.34 ; 4.28
22/04/2018 00:00 ; 4.33 ; 4.33
23/04/2018 12:00 ; 4.33 ; 4.28
23/04/2018 00:00 ; 4.3 ; 4.28
24/04/2018 12:00 ; 4.29 ; 4.26
24/04/2018 00:00 ; 4.31 ; 4.28
25/04/2018 12:00 ; 4.27 ; 4.22
25/04/2018 00:00 ; 4.28 ; 4.26
26/04/2018 12:00 ; 4.26 ; 4.2
26/04/2018 00:00 ; 4.25 ; 4.22
27/04/2018 12:00 ; 4.21 ; 4.16
27/04/2018 00:00 ; 4.22 ; 4.2
28/04/2018 00:00 ; 4.18 ; 4.16
29/04/2018 12:00 ; 4.12 ; 4.13
29/04/2018 00:00 ; 4.13 ; 4.16
30/04/2018 12:00 ; 4.07 ; 4.07
30/04/2018 00:00 ; 4.1 ; 4.07
01/05/2018 12:00 ; 4.05 ; 4.04
01/05/2018 00:00 ; 4.06 ; 4.07
02/05/2018 12:00 ; 4.04 ; 4
02/05/2018 00:00 ; 4.02 ; 4.04
03/05/2018 12:00 ; 4.02 ; 4.01
03/05/2018 00:00 ; 4.01 ; 4
04/05/2018 12:00 ; 4.04 ; 4.02
04/05/2018 00:00 ; 4.03 ; 4.01
05/05/2018 12:00 ; 4.05 ; 3.94
05/05/2018 00:00 ; 4.05 ; 4.02
06/05/2018 12:00 ; 4.03 ; 3.97
06/05/2018 00:00 ; 4.05 ; 3.97
07/05/2018 12:00 ; 4.01 ; 3.98
07/05/2018 00:00 ; 4.02 ; 3.97
08/05/2018 12:00 ; 4.04 ; 4
08/05/2018 00:00 ; 3.99 ; 3.98
09/05/2018 12:00 ; 4.08 ; 4.05
09/05/2018 00:00 ; 4.06 ; 4
10/05/2018 12:00 ; 4.13 ; 4.05
10/05/2018 00:00 ; 4.09 ; 4.05
11/05/2018 12:00 ; 4.18 ; 4.1
11/05/2018 00:00 ; 4.13 ; 4.05
12/05/2018 12:00 ; 4.2 ; 4.11
12/05/2018 00:00 ; 4.18 ; 4.1
13/05/2018 12:00 ; 4.23 ; 4.11
13/05/2018 00:00 ; 4.2 ; 4.11
14/05/2018 12:00 ; 4.27 ; 4.24
14/05/2018 00:00 ; 4.23 ; 4.11
15/05/2018 12:00 ; 4.29 ; 4.28
15/05/2018 00:00 ; 4.28 ; 4.24
16/05/2018 12:00 ; 4.31 ; 4.3
16/05/2018 00:00 ; 4.3 ; 4.28
17/05/2018 12:00 ; 4.32 ; 4.29
17/05/2018 00:00 ; 4.3 ; 4.3
18/05/2018 12:00 ; 4.3 ; 4.29
18/05/2018 00:00 ; 4.29 ; 4.29
19/05/2018 12:00 ; 4.24 ; 4.25
19/05/2018 00:00 ; 4.27 ; 4.29
20/05/2018 12:00 ; 4.23 ; 4.23
20/05/2018 00:00 ; 4.24 ; 4.25
21/05/2018 12:00 ; 4.21 ; 4.2
21/05/2018 00:00 ; 4.24 ; 4.23
22/05/2018 12:00 ; 4.17 ; 4.16
22/05/2018 00:00 ; 4.19 ; 4.2
23/05/2018 12:00 ; 4.12 ; 4.1
23/05/2018 00:00 ; 4.14 ; 4.16
24/05/2018 12:00 ; 4.08 ; 4.08
24/05/2018 00:00 ; 4.09 ; 4.1
25/05/2018 12:00 ; 4.03 ; 4.02
25/05/2018 00:00 ; 4.04 ; 4.08
26/05/2018 12:00 ; 3.99 ; 3.98
26/05/2018 00:00 ; 4 ; 4.02
27/05/2018 12:00 ; 3.95 ; 3.93
27/05/2018 00:00 ; 3.97 ; 3.98
28/05/2018 12:00 ; 3.94 ; 3.9
28/05/2018 00:00 ; 3.93 ; 3.93
29/05/2018 12:00 ; 3.88 ; 3.84
29/05/2018 00:00 ; 3.89 ; 3.9
30/05/2018 12:00 ; 3.82 ; 3.84
30/05/2018 00:00 ; 3.85 ; 3.84
31/05/2018 12:00 ; 3.77 ; 3.78
31/05/2018 00:00 ; 3.8 ; 3.84
01/06/2018 12:00 ; 3.71 ; 3.72
01/06/2018 00:00 ; 3.73 ; 3.78
02/06/2018 12:00 ; 3.64 ; 3.69
02/06/2018 00:00 ; 3.66 ; 3.72
03/06/2018 12:00 ; 3.56 ; 3.58
03/06/2018 00:00 ; 3.57 ; 3.66
04/06/2018 12:00 ; 3.49 ; 3.52
04/06/2018 00:00 ; 3.51 ; 3.58
05/06/2018 12:00 ; 3.44 ; 3.48
05/06/2018 00:00 ; 3.45 ; 3.52
06/06/2018 12:00 ; 3.39 ; 3.43
06/06/2018 00:00 ; 3.42 ; 3.48
07/06/2018 12:00 ; 3.31 ; 3.36
07/06/2018 00:00 ; 3.35 ; 3.43
08/06/2018 12:00 ; 3.27 ; 3.3
08/06/2018 00:00 ; 3.29 ; 3.36
09/06/2018 12:00 ; 3.22 ; 3.24
09/06/2018 00:00 ; 3.24 ; 3.3
10/06/2018 12:00 ; 3.16 ; 3.24
10/06/2018 00:00 ; 3.19 ; 3.24
11/06/2018 12:00 ; 3.09 ; 3.1
11/06/2018 00:00 ; 3.11 ; 3.24
12/06/2018 12:00 ; 2.92 ; 3.04
12/06/2018 00:00 ; 3.03 ; 3.1
13/06/2018 12:00 ; 2.89 ; 3
13/06/2018 00:00 ; 2.92 ; 3.04
14/06/2018 12:00 ; 2.89 ; 2.98
14/06/2018 00:00 ; 2.89 ; 3
15/06/2018 12:00 ; 2.83 ; 2.92
15/06/2018 00:00 ; 2.84 ; 2.98
16/06/2018 12:00 ; 2.8 ; 2.86
16/06/2018 00:00 ; 2.79 ; 2.92
17/06/2018 12:00 ; 2.73 ; 2.8
17/06/2018 00:00 ; 2.76 ; 2.86
18/06/2018 12:00 ; 2.72 ; 2.78
18/06/2018 00:00 ; 2.72 ; 2.8
19/06/2018 12:00 ; 2.72 ; 2.76
19/06/2018 00:00 ; 2.71 ; 2.78
20/06/2018 12:00 ; 2.74 ; 2.78
20/06/2018 00:00 ; 2.74 ; 2.76
21/06/2018 12:00 ; 2.74 ; 2.78
21/06/2018 00:00 ; 2.75 ; 2.78
22/06/2018 12:00 ; 2.73 ; 2.79
22/06/2018 00:00 ; 2.7 ; 2.78
23/06/2018 12:00 ; 2.71 ; 2.76
23/06/2018 00:00 ; 2.71 ; 2.79
24/06/2018 12:00 ; 2.64 ; 2.73
24/06/2018 00:00 ; 2.67 ; 2.76
25/06/2018 12:00 ; 2.59 ; 2.68
25/06/2018 00:00 ; 2.62 ; 2.73
26/06/2018 12:00 ; 2.56 ; 2.64
26/06/2018 00:00 ; 2.57 ; 2.68
27/06/2018 12:00 ; 2.55 ; 2.6
27/06/2018 00:00 ; 2.54 ; 2.64
28/06/2018 12:00 ; 2.52 ; 2.58
28/06/2018 00:00 ; 2.52 ; 2.6
29/06/2018 12:00 ; 2.55 ; 2.58
29/06/2018 00:00 ; 2.54 ; 2.58
30/06/2018 12:00 ; 2.53 ; 2.55
30/06/2018 00:00 ; 2.5 ; 2.58
01/07/2018 12:00 ; 2.48 ; 2.53
01/07/2018 00:00 ; 2.48 ; 2.55
02/07/2018 12:00 ; 2.47 ; 2.53
02/07/2018 00:00 ; 2.51 ; 2.53
03/07/2018 12:00 ; 2.45 ; 2.53
03/07/2018 00:00 ; 2.46 ; 2.53
04/07/2018 12:00 ; 2.44 ; 2.53
04/07/2018 00:00 ; 2.44 ; 2.53
05/07/2018 12:00 ; 2.46 ; 2.53
05/07/2018 00:00 ; 2.46 ; 2.53
06/07/2018 12:00 ; 2.48 ; 2.55
06/07/2018 00:00 ; 2.48 ; 2.53
07/07/2018 12:00 ; 2.46 ; 2.55
07/07/2018 00:00 ; 2.47 ; 2.55
08/07/2018 12:00 ; 2.47 ; 2.53
08/07/2018 00:00 ; 2.45 ; 2.55
09/07/2018 12:00 ; 2.44 ; 2.53
09/07/2018 00:00 ; 2.44 ; 2.53
10/07/2018 12:00 ; 2.47 ; 2.55
10/07/2018 00:00 ; 2.47 ; 2.53
11/07/2018 12:00 ; 2.51 ; 2.57
11/07/2018 00:00 ; 2.48 ; 2.55
12/07/2018 12:00 ; 2.54 ; 2.62
12/07/2018 00:00 ; 2.53 ; 2.57
13/07/2018 12:00 ; 2.55 ; 2.62
13/07/2018 00:00 ; 2.55 ; 2.62
14/07/2018 12:00 ; 2.55 ; 2.58
14/07/2018 00:00 ; 2.54 ; 2.62
15/07/2018 12:00 ; 2.49 ; 2.58
15/07/2018 00:00 ; 2.51 ; 2.58
16/07/2018 12:00 ; 2.41 ; 2.5
16/07/2018 00:00 ; 2.47 ; 2.58
17/07/2018 12:00 ; 2.36 ; 2.43
17/07/2018 00:00 ; 2.39 ; 2.5
18/07/2018 12:00 ; 2.33 ; 2.39
18/07/2018 00:00 ; 2.35 ; 2.43
19/07/2018 12:00 ; 2.29 ; 2.39
19/07/2018 00:00 ; 2.27 ; 2.39
20/07/2018 12:00 ; 2.2 ; 2.32
20/07/2018 00:00 ; 2.27 ; 2.39
21/07/2018 12:00 ; 2.23 ; 2.32
21/07/2018 00:00 ; 2.21 ; 2.32
22/07/2018 12:00 ; 2.19 ; 2.3
22/07/2018 00:00 ; 2.21 ; 2.3
23/07/2018 12:00 ; 2.21 ; 2.28
23/07/2018 00:00 ; 2.22 ; 2.28
24/07/2018 12:00 ; 2.22 ; 2.26
24/07/2018 00:00 ; 2.2 ; 2.28
25/07/2018 12:00 ; 2.22 ; 2.25
25/07/2018 00:00 ; 2.22 ; 2.26
26/07/2018 12:00 ; 2.18 ; 2.24
26/07/2018 00:00 ; 2.13 ; 2.25
27/07/2018 12:00 ; 2.19 ; 2.24
27/07/2018 00:00 ; 2.18 ; 2.24
28/07/2018 12:00 ; 2.2 ; 2.2
28/07/2018 00:00 ; 2.2 ; 2.21
29/07/2018 12:00 ; 2.22 ; 2.18
29/07/2018 00:00 ; 2.22 ; 2.2
30/07/2018 12:00 ; 2.25 ; 2.16
30/07/2018 00:00 ; 2.18 ; 2.18